dates,stationid,temperature,humidity,pressure,rain,lightavgw/o0,lightmax,moisture
08-07-2018,t10,25.46875,82.1875,1036.346875,6.75,5.5,4000,0
09-07-2018,t10,26.19298,83.14912,1037.6043859649,1761.75,11.8448,4000,5.693
10-07-2018,t10,25.17021,85.34043,1037.8893617021,652.5,8.7692,4000,6.8511
11-07-2018,t10,24.29851,87.68657,1036.8574626866,963,8.8358,4000,6.0373
12-07-2018,t10,24.06923,87.64615,1027.8307692308,254.25,274.6232,4333,31.2385
13-07-2018,t10,21.20779,95.94805,1006.9246753247,339.75,14148.9787,54612,100
15-07-2018,t10,23.48571,96.17143,1006.5685714286,38.25,134.9,4000,93.2
18-07-2018,t10,21.79487,98.58974,1009.4153846154,29.25,659.8889,4000,5.7692
19-07-2018,t10,25.09346,88.3271,991.6541121495,4.5,2168.3333,6295,4.2897
20-07-2018,t10,25.39423,90.43269,1009.6576923077,112.5,2082.371,5489,3.6154
21-07-2018,t10,23.89076,94.53782,1009.2680672269,735.75,6359.0779,54612,3.7647
22-07-2018,t10,22.5098,99,1009.7960784314,607.5,7163.6962,54612,4.0294
23-07-2018,t10,22.904,98,1009.8952,717.75,1356.7432,6495,3.832
24-07-2018,t10,21.72464,99,996.2891304348,513,831.3889,4000,3.0435
25-07-2018,t10,23.18182,98.9697,800,195.75,12035.2787,54612,3
26-07-2018,t10,21.24272,99,1009.2058252427,474.75,589.8983,4000,3.0485
27-07-2018,t10,21.62791,99,1008.8945736434,409.5,859.5696,4000,3
28-07-2018,t10,20.90511,99,1008.8897810219,1161,944.5432,4000,3.1971
29-07-2018,t10,23.66667,97.80142,1009.3787234043,0,1817.5952,5536,2.0355
30-07-2018,t10,24.53077,92.9,1008.6584615385,0,1846.3902,4106,1.8
31-07-2018,t10,23.40714,98.97857,1007.9457142857,240.75,1477.2805,5002,1.7143
01-08-2018,t10,22.88652,98.68794,1008.9773049645,398.25,1529.0843,5347,1.1915
02-08-2018,t10,20,99,1009.3944444444,2.25,0,4000,1
05-08-2018,t10,20.32203,99,1009.6644067797,816.75,172.9355,4000,1.0508
06-08-2018,t10,20.0493,99,1009.0373239437,776.25,351.0875,4000,1
07-08-2018,t10,19.7234,99,1010.7468085106,681.75,547.5802,4000,1
08-08-2018,t10,22.33094,99,1012.1258992806,441,2752.6087,54612,1
09-08-2018,t10,23.47482,98.97122,1014.8323741007,423,48975.4779,54612,1.1655
10-08-2018,t10,22.88489,99,1012.835971223,108,3885.4691,10057,2
11-08-2018,t10,22.31915,99,1008.6120567376,76.5,4270.622,54612,2
12-08-2018,t10,22.09774,99,1005.8067669173,1341,2713.987,11745,1.7669
13-08-2018,t10,21.03053,99,1007.6755725191,1804.5,4562.3611,54612,1.0076
14-08-2018,t10,22.97842,99,1009.5050359712,0,4647.5375,13465,1.3741
15-08-2018,t10,24.23022,98.99281,1011.4158273381,0,5712.9375,14348,9.9928
16-08-2018,t10,23.65942,99,1014.0297101449,135,4237.6709,14418,20.1014
17-08-2018,t10,22.44203,99,1011.5108695652,38.25,2325.9114,7373,22.2754
18-08-2018,t10,22.00752,99,1010.5248120301,2171.25,10962.3108,54612,22.5564
19-08-2018,t10,23.34058,99,1009.8565217391,58.5,3927.7848,12786,23.2174
20-08-2018,t10,23.70423,99,1011.6394366197,742.5,7169.2593,54612,22.3732
21-08-2018,t10,21.26761,99,1012.2049295775,443.25,8072.9383,54612,23.4155
22-08-2018,t10,22.97826,99,1010.9347826087,774,3729.6923,11649,24.2754
23-08-2018,t10,21.94074,99,1010.3407407407,1167.75,1911.2338,7800,24.4
24-08-2018,t10,21.92199,99,1010.0553191489,1453.5,0,4000,22.3688
25-08-2018,t10,22.08759,99,1009.1445255474,630,979.026,3564,23.4526
26-08-2018,t10,22.76812,99,1009.5362318841,594,15494,15494,23.8478
27-08-2018,t10,24.48227,98.75887,1011.670212766,0,7555.4,54612,23.1631
28-08-2018,t10,24.6338,98.93662,1012.8690140845,38.25,5482.325,14212,22.2465
29-08-2018,t10,23.25532,99,1013.6829787234,65.25,4054,15848,21.5319
30-08-2018,t10,22.85315,99,1011.0440559441,546.75,3913.1728,11093,21.7483
31-08-2018,t10,22.52143,99,1011.6071428571,92.25,2844.4684,12538,23.4929
01-09-2018,t10,23.06015,99,1013.3526315789,900,2844.4684,12538,24.1053
02-09-2018,t10,20.86957,99,1013.1485507246,634.5,2844.4684,12538,24.4855
03-09-2018,t10,21.6015,99,1013.1323308271,29.25,2844.4684,12538,23.9173
04-09-2018,t10,22.55263,99,1013.8807017544,1091.25,2844.4684,12538,23.5439
05-09-2018,t10,22.83019,99,1013.0820754717,13.5,11935.8103,54612,23.6887
06-09-2018,t10,23.98473,98.89313,1013.1786259542,58.5,5152.8955,54612,23.9924
07-09-2018,t10,24.47253,97.46154,1015.7373626374,162,5152.8955,54612,24.7363
08-09-2018,t10,22.76336,99,1015.9175572519,4.5,5152.8955,54612,24.0534
09-09-2018,t10,23.05674,99,1016.9652482269,0,3384.0263,10515,23.2695
10-09-2018,t10,23.71901,98.95868,1017.5595041322,54,4214.8571,15859,21.2562
11-09-2018,t10,23.01724,99,1016.4801724138,157.5,4263.4459,11103,22.3879
12-09-2018,t10,22.29927,97.23358,1013.5445255474,87.75,4263.4459,11103,22.0438
13-09-2018,t10,21.42857,99,1013.3327731092,366.75,4263.4459,11103,22.6975
14-09-2018,t10,20.84211,98.14286,1015.9729323308,382.5,4263.4459,11103,21.8722
15-09-2018,t10,20.42857,99,1017.7614285714,0,4263.4459,11103,20.2214
16-09-2018,t10,22.45985,90.43796,1016.4430656934,0,4263.4459,11103,18.708
17-09-2018,t10,21.9021,90.54545,1015.4055944056,0,4263.4459,11103,16.3497
18-09-2018,t10,21.87857,91.54286,1015.5357142857,0,4263.4459,11103,14.9643
19-09-2018,t10,22.77372,88.33577,1015.6788321168,0,4263.4459,11103,13.927
20-09-2018,t10,23.32857,85.64286,1016.66,0,4263.4459,11103,12.5357
21-09-2018,t10,21.64286,99,1019.5192857143,589.5,4263.4459,11103,11.7714
22-09-2018,t10,17.65385,99,1020.4846153846,207,0,4000,2.6154
23-09-2018,t10,17.34,99,1018.4,281.25,3536.3333,54612,6.64
24-09-2018,t10,15.96992,99,1016.937593985,1215,4263.4459,11103,6.8647
25-09-2018,t10,20.80741,95.76296,1017.0577777778,2.25,4263.4459,11103,1.3926
26-09-2018,t10,22.37857,90.69286,1016.6342857143,0,4263.4459,11103,1.1929
27-09-2018,t10,21.76471,94.65441,1017.8286764706,0,33387.9143,54612,1.0368
28-09-2018,t10,19.97872,98.93617,1018.870212766,0,4414.1091,54612,1
29-09-2018,t10,21.92701,89.9635,1019.9386861314,0,4516.8451,11700,0.9927
30-09-2018,t10,21.86765,88.70588,1018.6205882353,0,4598.2676,10660,0.6103
01-10-2018,t10,21.7234,84.13475,1018.6680851064,0,4414.0417,11161,0.2553
02-10-2018,t10,21.58993,81.10072,1019.7899280576,0,5882.726,54612,0.1079
03-10-2018,t10,21.41135,80.76596,1019.0581560284,0,4351.6901,13652,0.0496
04-10-2018,t10,20.15603,80.41844,1020.6914893617,74.25,4351.6901,13652,3.3901
05-10-2018,t10,20.05072,76.53623,1021.8079710145,0,3697.3056,8477,10.3116
06-10-2018,t10,20.38129,70.5036,1020.6287769784,0,4351.6901,13652,9.5324
07-10-2018,t10,19.84173,76.4964,1019.9287769784,0,6855.3286,54612,8.9928
08-10-2018,t10,20.05882,78.66912,1018.4970588235,0,6855.3286,54612,6.6176
09-10-2018,t10,20.26812,72.2029,1018.7036231884,0,6855.3286,54612,0
10-10-2018,t10,20.77857,67.38571,1018.9942857143,24.75,6855.3286,54612,0.0929
11-10-2018,t10,17.71223,87.72662,1020.0294964029,315,6855.3286,54612,0.295
12-10-2018,t10,18.55714,82.97857,1021.2592857143,0,6855.3286,54612,0.3571
13-10-2018,t10,18.43662,82.66197,1020.9802816901,0,6855.3286,54612,0.007
14-10-2018,t10,18.40714,82.82857,1019.9971428571,0,6855.3286,54612,0.0071
15-10-2018,t10,18.36879,80.40426,1020.7460992908,0,6855.3286,54612,0.0213
16-10-2018,t10,18.99275,66.24638,1021.2,0,6855.3286,54612,0.0145
17-10-2018,t10,19.68613,50.19708,1019.9854014599,0,6855.3286,54612,0.0073
18-10-2018,t10,19.69286,53.86429,1019.6635714286,0,6855.3286,54612,0.0071
19-10-2018,t10,19.29078,50.82979,1020.8262411348,0,6855.3286,54612,0.0071
20-10-2018,t10,18.57971,56.76087,1022.7413043478,0,6855.3286,54612,0.0145
21-10-2018,t10,17.94245,69.70504,1023.0856115108,0,6855.3286,54612,0.0288
22-10-2018,t10,17.59712,62.07914,1021.2388489209,0,6855.3286,54612,0
23-10-2018,t10,17.73571,57.10714,1021.1585714286,0,19950.2388,54612,0.0071
24-10-2018,t10,16.46923,60.64615,1021.5992307692,0,26803.4211,54612,0.0154
25-10-2018,t10,17.33094,65.41727,1022.845323741,0,11408.3929,54612,0.0216
26-10-2018,t10,17.74101,67.42446,1024.5935251799,0,6779.3509,54612,0
27-10-2018,t10,17.48227,72.75177,1024.7737588652,0,4422.971,13652,0.0071
28-10-2018,t10,18.35714,72.72857,1024.4621428571,0,4209.4714,8582,0.0071
29-10-2018,t10,18.2695,76.35461,1023.5893617021,0,4217.0441,8616,0
30-10-2018,t10,18,84.66429,1023.2592857143,0,4217.0441,8616,0
31-10-2018,t10,18.97015,78.98507,1024.4350746269,0,4386.7419,8060,0
01-11-2018,t10,17.03101,94.0155,1023.0604651163,0,3020.8065,6569,0.0078
02-11-2018,t10,14.69369,90.10811,1022.2261261261,0,1718.1385,7842,2.8108
06-11-2018,t10,13.97872,89.46809,1020.3127659574,0,827.1875,4000,0.3191
07-11-2018,t10,15.8626,77.55725,1020.820610687,0,3020.8065,6569,0.4275
08-11-2018,t10,14.70079,82.61417,1021.8858267717,0,3020.8065,6569,0.3701
09-11-2018,t10,15.41085,81.10078,1020.0511627907,0,3020.8065,6569,0.0078
10-11-2018,t10,15.49612,83.48062,1020.8403100775,0,3020.8065,6569,0.0465
11-11-2018,t10,14.36585,83.86179,1021.8300813008,0,3020.8065,6569,0
12-11-2018,t10,16.03676,66.22794,1020.3066176471,0,3020.8065,6569,3.0147
13-11-2018,t10,13.28689,85.56557,1017.9983606557,0,3020.8065,6569,3.5984
17-11-2018,t10,14.20635,88.1746,1017.2063492063,0,1282.0667,4000,0.0476
18-11-2018,t10,15.1875,79.20139,1019.6479166667,0,3020.8065,6569,0.3403
19-11-2018,t10,16.27972,76.74126,1022.9587412587,0,3020.8065,6569,0.007
20-11-2018,t10,15.46479,80.73944,1023.1521126761,0,3020.8065,6569,0.2958
21-11-2018,t10,15.41791,80.20149,1022.4149253731,0,3020.8065,6569,0.3284
22-11-2018,t10,14.34752,86.14184,1023.095035461,0,3020.8065,6569,0.1135
23-11-2018,t10,14.60839,82.06993,1024.9566433566,0,3020.8065,6569,0.014
24-11-2018,t10,15.74648,78.28873,1022.3725352113,0,3020.8065,6569,0.007
25-11-2018,t10,17.17647,69.68627,1022.4176470588,0,3020.8065,6569,0
05-07-2018,t11,22.05,83.65,894.634,0,0,4000,0.05
06-07-2018,t11,26.86029,64.97059,894.0100735294,0,24.9873,4000,0.0882
07-07-2018,t11,29.31304,62.42609,893.8089565217,0,31.5125,4000,0.8
08-07-2018,t11,23.53846,61.92308,789.3926923077,3,1,4000,1
09-07-2018,t11,26.8494,61.10241,812.4557228916,15,20.4167,4000,1
10-07-2018,t11,27.88806,75.07463,893.6775373134,13583.25,21.1111,4000,1
11-07-2018,t11,27.35915,76.02113,948.4678873239,19768.5,2254.2024,54612,5.7746
12-07-2018,t11,28.24031,71.54264,1053.3995348837,0,1439.4375,12946,11.9147
13-07-2018,t11,25.5,78.40278,1044.1483333333,20.25,340.5581,4000,11.7569
14-07-2018,t11,28.3007,71.36364,1001.8588111888,0,1022.2414,4000,11.3147
15-07-2018,t11,29.09286,69.27143,1001.9047142857,13.5,785.2619,4000,9.0571
16-07-2018,t11,24.92308,85.0979,1002.9725174825,1260,2160.2771,12387,20.5664
17-07-2018,t11,26.52857,80.95714,1003.6074285714,324,6468.7558,28481,16.6
18-07-2018,t11,28.1223,73.86331,1003.9466906475,40.5,15445.631,54612,12.518
19-07-2018,t11,29.08271,71.09023,1003.4096240602,24.75,9803.7342,54612,10.4211
20-07-2018,t11,28.32867,74.71329,1002.8634965035,679.5,8401.25,52476,13.965
21-07-2018,t11,27.32168,76.97902,1002.6475524476,13.5,4155.9419,54585,11.7902
22-07-2018,t11,25.50649,84.90909,1003.3820779221,0,926.6444,4000,10.5714
27-07-2018,t11,25.00295,85.78909,1009.635339233,9,154.2815,4000,25.3304
28-07-2018,t11,23.76852,88.08333,1009.5210802469,130.5,0,4000,23.4444
01-08-2018,t11,26.6,75.4,1008.0486666667,24.75,10.5,4000,4.4667
05-08-2018,t11,24,91,1009.265,0,54612,54612,0
11-08-2018,t11,27.11321,82.71698,1006.7601886792,2.25,24.08,4000,0
12-08-2018,t11,25.80645,85.29032,1005.37,22.5,29.0435,4000,0
13-08-2018,t11,24.59375,88.02083,1007.3298958333,159.75,26.3864,4000,0
14-08-2018,t11,27.45882,77.25882,1008.7954117647,0,38.18,4000,0
15-08-2018,t11,27.95699,74.6129,1010.7940860215,0,33.3462,4000,0
16-08-2018,t11,27.61856,79.79381,1013.24,0,40.0612,4000,0
17-08-2018,t11,26.93333,80.74444,1010.7674444444,9,40.7111,4000,0
18-08-2018,t11,26.52577,84.52577,1010.0065979381,4.5,1066.8302,54612,0
19-08-2018,t11,27.70588,79.43697,1009.0321848739,0,47.0952,4000,0
20-08-2018,t11,27.48936,81.85106,1010.8653191489,4.5,46.4306,4000,0
21-08-2018,t11,24.12745,90.60784,1011.7700980392,24.75,11.5294,4000,0
22-08-2018,t11,26.81061,83.68939,1010.300530303,0,52.5574,4000,0
23-08-2018,t11,25.46479,90.16901,1009.8571126761,63,28.1644,4000,0
24-08-2018,t11,24.43836,90.41096,1009.3338356164,2.25,4.5,4000,0
25-08-2018,t11,23.08772,90.40351,1008.8433333333,58.5,5.25,4000,0
26-08-2018,t11,24.9863,84.78082,1008.984109589,9,35.7667,4000,0
27-08-2018,t11,26.84211,80.60526,1011.0331578947,0,10,4000,0
28-08-2018,t11,27.66981,78.91509,1012.1749056604,0,38.475,4000,0
29-08-2018,t11,27.60563,80.99296,1012.8342253521,20.25,45,4000,0
30-08-2018,t11,27.37755,79.88776,1010.8864285714,0,54.4032,4000,0
31-08-2018,t11,27.01053,83.14737,1010.7489473684,47.25,41.5735,4000,0
01-09-2018,t11,27.51969,79.58268,1012.7338582677,45,54.2239,4000,2
02-09-2018,t11,25.26667,88.57143,1012.8920952381,9,22.6269,4000,0.7048
03-09-2018,t11,25.45455,87.03788,1012.7250757576,6.75,26.3151,4000,1.8864
04-09-2018,t11,24.79167,86.79167,1012.8283333333,0,16.125,4000,1.2917
05-09-2018,t11,26.63415,80.08537,1012.7931707317,2.25,33.7586,4000,2.4268
06-09-2018,t11,26.56693,74.88189,1012.5954330709,0,39.4265,4000,3.6299
07-09-2018,t11,26.50667,75.45333,1014.4444,0,36.5641,4000,3.4667
08-09-2018,t11,25.9084,76.63359,1015.3435877863,0,53.9296,4000,3.2519
09-09-2018,t11,26.21429,81.82857,1016.4715714286,13.5,37.5758,4000,2.9
10-09-2018,t11,25.70667,80.53333,1017.5270666667,0,45.5789,4000,2.5733
11-09-2018,t11,22.91667,90.95833,1016.4479166667,0,0,4000,1
12-09-2018,t11,20.05882,91.70588,1013.9558823529,0,0,4000,2
13-09-2018,t11,22.88095,90.11905,1011.9395238095,9,15.6875,4000,2.4048
14-09-2018,t11,19.04,90.76,1014.0484,0,0,4000,2.04
15-09-2018,t11,25.30534,74.15267,1017.6895419847,0,52.5,4000,3.8168
16-09-2018,t11,24.23077,70.65035,1016.2322377622,0,52.5,4000,3.6713
17-09-2018,t11,23.28571,65.61039,1015.8812987013,0,46.5227,4000,4.2078
18-09-2018,t11,25.61386,63.61386,1015.5086138614,0,52.5,4000,4.3861
19-09-2018,t11,26.17284,58.2963,1015.9009876543,0,63.1607,4000,5.0741
20-09-2018,t11,21.75,60.43182,1015.7886363636,0,23,4000,3.5227
21-09-2018,t11,26.11957,66.26087,1018.8654347826,0,71.5,4000,4.8043
05-07-2018,t12,21,93.5,882.735,0,302,4000,2
09-07-2018,t12,25.55238,31,1000,1,1,4000,1
13-07-2018,t12,25.55238,31,1005.78,0,447.6,4000,27
16-07-2018,t12,25.55238,86.9619,1005.4980952381,47.25,8768.8228,54612,74.8762
17-07-2018,t12,24.55639,92.56391,1008.3060150376,1710,4488.9103,54612,90.0526
18-07-2018,t12,25.97674,88.37209,1008.6589147287,15459.75,4488.9103,54612,11.9225
19-07-2018,t12,27.4,84.14815,1008.0955555556,14001.75,4488.9103,54612,10.6
20-07-2018,t12,26.42958,90.66197,1007.4725352113,16571.25,4488.9103,54612,17.4507
21-07-2018,t12,25.27536,94.18116,1007.2826086957,1183.5,4488.9103,54612,15.1159
22-07-2018,t12,24.73611,96.68056,1007.7756944444,1962,4488.9103,54612,12.2431
23-07-2018,t12,24.39024,94.4065,1007.8528455285,1071,4488.9103,54612,11.2683
24-07-2018,t12,24.16197,97.66901,1008.6394366197,438.75,4488.9103,54612,11.7394
25-07-2018,t12,25.29323,94.84211,1006.5240601504,13666.5,4488.9103,54612,10.6391
26-07-2018,t12,22.19718,99,1007.2274647887,864,4488.9103,54612,10.3803
27-07-2018,t12,21.73239,98.95775,1007.2274647887,816.75,4488.9103,54612,9.0986
28-07-2018,t12,21.48571,99,1007.24,796.5,4488.9103,54612,8.6643
29-07-2018,t12,25.5,92.52817,1007.3126760563,2.25,4488.9103,54612,8.2606
30-07-2018,t12,25.83206,88.25954,1006.6213740458,0,4488.9103,54612,8
31-07-2018,t12,25.77465,91.26056,1005.9492957746,81,4488.9103,54612,7.6901
01-08-2018,t12,25.36691,91.17986,1006.671942446,191.25,4488.9103,54612,7.0935
02-08-2018,t12,25.68148,91.37778,1007.9955555556,76.5,4488.9103,54612,7.7778
03-08-2018,t12,26.77305,90.69504,1008.0127659574,6.75,4488.9103,54612,7.0426
04-08-2018,t12,22.89286,99,1007.2785714286,4.5,0,4000,7
11-08-2018,t12,24.70769,98.70769,1005.3769230769,0,4510.7541,54612,5
12-08-2018,t12,23.90278,98.23611,1003.9895833333,202.5,4488.9103,54612,5.1319
13-08-2018,t12,22.09929,99,991.6936170213,1611,4488.9103,54612,7.9362
14-08-2018,t12,24.96479,93.75352,1000.4056338028,0,4488.9103,54612,12.8732
15-08-2018,t12,25.11268,93.42958,1000.7725352113,0,4488.9103,54612,13.8944
16-08-2018,t12,25.47183,95.47183,1004.7302816901,56.25,4488.9103,54612,14
17-08-2018,t12,25.00709,95.50355,1009.4567375887,38.25,4488.9103,54612,13.4255
18-08-2018,t12,24.04965,98.95745,1008.5666666667,24.75,4488.9103,54612,13
19-08-2018,t12,25.90972,93.41667,1007.7423611111,0,4488.9103,54612,12.4167
20-08-2018,t12,25.58741,95.84615,1009.5118881119,92.25,4488.9103,54612,12.007
21-08-2018,t12,23.48571,98.89286,1010.2514285714,353.25,4488.9103,54612,10.7429
22-08-2018,t12,25.30496,96.91489,1008.7992907801,4.5,4488.9103,54612,9
23-08-2018,t12,23.52113,99,1008.4598591549,533.25,4488.9103,54612,9.2887
24-08-2018,t12,23.79433,98.41844,1008.1446808511,213.75,4488.9103,54612,9.1135
25-08-2018,t12,24.23077,95.67133,986.093006993,434.25,4488.9103,54612,8.8042
26-08-2018,t12,24.35211,96.46479,1007.5176056338,191.25,4488.9103,54612,8.6761
27-08-2018,t12,26.17857,93.72857,1009.5507142857,0,4488.9103,54612,8
28-08-2018,t12,26.40559,94.02797,1010.6692307692,0,4488.9103,54612,8
