Date,new_cases
2020-01-30,0
2020-01-31,0
2020-02-01,0.33333
2020-02-02,0.5
2020-02-03,0.6
2020-02-04,0.5
2020-02-05,0.42857
2020-02-06,0.28571
2020-02-07,0.28571
2020-02-08,0.28571
2020-02-09,0.14286
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0.28571
2020-03-03,0.28571
2020-03-04,3.57143
2020-03-05,3.85714
2020-03-06,4
2020-03-07,4.42857
2020-03-08,5.14286
2020-03-09,5.42857
2020-03-10,7.28571
2020-03-11,4.85714
2020-03-12,6.14286
2020-03-13,7.28571
2020-03-14,9.71429
2020-03-15,10.57143
2020-03-16,10.85714
2020-03-17,12.28571
2020-03-18,13.42857
2020-03-19,17.28571
2020-03-20,23.14286
2020-03-21,32.57143
2020-03-22,40.42857
2020-03-23,54.28571
2020-03-24,56.28571
2020-03-25,71.57143
2020-03-26,76.14286
2020-03-27,91.85714
2020-03-28,93.85714
2020-03-29,89.71429
2020-03-30,107.42857
2020-03-31,123
2020-04-01,191.57143
2020-04-02,259.42857
2020-04-03,240
2020-04-04,299.28571
2020-04-05,366.28571
2020-04-06,503.85714
2020-04-07,559.14286
2020-04-08,559.71429
2020-04-09,597.42857
2020-04-10,718.71429
2020-04-11,766.28571
2020-04-12,802.42857
2020-04-13,810.71429
2020-04-14,882.28571
2020-04-15,915.14286
2020-04-16,957.85714
2020-04-17,964.85714
2020-04-18,1039.42857
2020-04-19,1201.42857
2020-04-20,1155.14286
2020-04-21,1227.57143
2020-04-22,1292.57143
2020-04-23,1378.14286
2020-04-24,1454
2020-04-25,1508.71429
2020-04-26,1467.85714
2020-04-27,1558.85714
2020-04-28,1606.28571
2020-04-29,1670.28571
2020-04-30,1683.71429
2020-05-01,1818.14286
2020-05-02,1916.57143
2020-05-03,2087.85714
2020-05-04,2426.57143
2020-05-05,2582.28571
2020-05-06,2846.42857
2020-05-07,3069.71429
2020-05-08,3205.42857
2020-05-09,3301.28571
2020-05-10,3522.28571
2020-05-11,3475.85714
2020-05-12,3556
2020-05-13,3581.14286
2020-05-14,3663.71429
2020-05-15,3727
2020-05-16,3977.14286
2020-05-17,4076.71429
2020-05-18,4222.85714
2020-05-19,4597.57143
2020-05-20,4853.28571
2020-05-21,5175.57143
2020-05-22,5572.85714
2020-05-23,5825
2020-05-24,6119.71429
2020-05-25,6374.57143
2020-05-26,6331.14286
2020-05-27,6579.71429
2020-05-28,6737.14286
2020-05-29,6956.71429
2020-05-30,7200.57143
2020-05-31,7439
2020-06-01,7631.42857
2020-06-02,8056.85714
2020-06-03,8391.14286
2020-06-04,8761
2020-06-05,8956.14286
2020-06-06,9256.42857
2020-06-07,9553.85714
2020-06-08,9651.14286
2020-06-09,9850.71429
2020-06-10,9968.71429
2020-06-11,10117.42857
2020-06-12,10401.28571
2020-06-13,10614.28571
2020-06-14,10705.42857
2020-06-15,11023.28571
2020-06-16,11131.28571
2020-06-17,11477.28571
2020-06-18,11856.71429
2020-06-19,12293.57143
2020-06-20,12789.85714
2020-06-21,13265.42857
2020-06-22,13874.85714
2020-06-23,14588.28571
2020-06-24,15165.57143
2020-06-25,15695.57143
2020-06-26,16272.14286
2020-06-27,16915.42857
2020-06-28,17576.57143
2020-06-29,18089.28571
2020-06-30,18471.14286
2020-07-01,18790.85714
2020-07-02,19306.14286
2020-07-03,19908.85714
2020-07-04,20615.14286
2020-07-05,21299.28571
2020-07-06,21832
2020-07-07,22419.42857
2020-07-08,23236.42857
2020-07-09,24036.85714
2020-07-10,24657.28571
2020-07-11,25193.85714
2020-07-12,25834.42857
2020-07-13,26726.85714
2020-07-14,27680.57143
2020-07-15,28794.42857
2020-07-16,30004.28571
2020-07-17,31166.85714
2020-07-18,32608.42857
2020-07-19,34278.85714
2020-07-20,35512.28571
2020-07-21,36699.57143
2020-07-22,38563
2020-07-23,40610.85714
2020-07-24,42562.85714
2020-07-25,43979.14286
2020-07-26,45344.28571
2020-07-27,46390.71429
2020-07-28,48370.14286
2020-07-29,49023.57143
2020-07-30,49519.71429
2020-07-31,51280.57143
2020-08-01,52155.42857
2020-08-02,52582.71429
2020-08-03,53667.42857
2020-08-04,53797.85714
2020-08-05,54653.28571
2020-08-06,56046.85714
2020-08-07,56089
2020-08-08,57469.57143
2020-08-09,58768.42857
2020-08-10,58990
2020-08-11,60197.71429
2020-08-12,61728.71429
2020-08-13,62016.57143
2020-08-14,62473
2020-08-15,62420.28571
2020-08-16,61798.42857
2020-08-17,62000.85714
2020-08-18,62516.42857
2020-08-19,62898.28571
2020-08-20,63519.28571
2020-08-21,64254.14286
2020-08-22,64998.28571
2020-08-23,65526.42857
2020-08-24,66377.42857
2020-08-25,65327.71429
2020-08-26,67615.57143
2020-08-27,68810.71429
2020-08-28,69753
2020-08-29,71113.28571
2020-08-30,73556.71429
2020-08-31,74834.71429
2020-09-01,77853.71429
2020-09-02,77596
2020-09-03,78463.85714
2020-09-04,79886.71429
2020-09-05,81582.57143
2020-09-06,83338.28571
2020-09-07,84179.42857
2020-09-08,85800.71429
2020-09-09,87493.85714
2020-09-10,89381
2020-09-11,90972.14286
2020-09-12,91506.42857
2020-09-13,91687.71429
2020-09-14,92830.57143
2020-09-15,92890.14286
2020-09-16,93198.57143
2020-09-17,93180.42857
2020-09-18,92575.71429
2020-09-19,92323.28571
2020-09-20,91593.28571
2020-09-21,90346.71429
2020-09-22,89378.71429
2020-09-23,87752.14286
2020-09-24,86270.42857
2020-09-25,85131.14286
2020-09-26,84559
2020-09-27,83874.57143
2020-09-28,83232.57143
2020-09-29,82821.85714
2020-09-30,82866.57143
2020-10-01,82214
2020-10-02,81373.14286
2020-10-03,79548.71429
2020-10-04,78444.71429
2020-10-05,77113
2020-10-06,75909.71429
2020-10-07,74724.42857
2020-10-08,73154.71429
2020-10-09,72268.42857
2020-10-10,72061.85714
2020-10-11,70960.42857
2020-10-12,70114
2020-10-13,68894
2020-10-14,67348.85714
2020-10-15,66331
2020-10-16,64751
2020-10-17,62963.57143
2020-10-18,61390.71429
2020-10-19,60169
2020-10-20,58816.85714
2020-10-21,57121.28571
2020-10-22,55834.85714
2020-10-23,54571.71429
2020-10-24,52894.28571
2020-10-25,51383.71429
2020-10-26,49909.42857
2020-10-27,48459.28571
2020-10-28,47608.14286
2020-10-29,46791.28571
2020-10-30,46062.42857
2020-10-31,45610.14286
2020-11-01,45622
2020-11-02,45884.85714
2020-11-03,46222
2020-11-04,46269
2020-11-05,46124.71429
2020-11-06,46423
2020-11-07,46238.85714
2020-11-08,46334.85714
2020-11-09,46301
2020-11-10,46019.28571
2020-11-11,45690
2020-11-12,45295.85714
2020-11-13,44485.57143
2020-11-14,43832.14286
2020-11-15,41638.57143
2020-11-16,40365.71429
2020-11-17,39556.57143
2020-11-18,39223.85714
2020-11-19,39367.14286
2020-11-20,39588.28571
2020-11-21,40175.28571
2020-11-22,42105.42857
2020-11-23,43364.28571
2020-11-24,44187
2020-11-25,44031.71429
2020-11-26,43631.71429
2020-11-27,42930.28571
2020-11-28,42444.71429
2020-11-29,41689.42857
2020-11-30,40709.85714
2020-12-01,39599.57143
2020-12-02,38322.71429
2020-12-03,37396
2020-12-04,36728.85714
2020-12-05,35900.42857
2020-12-06,35073.14286
2020-12-07,34423
2020-12-08,33776.71429
2020-12-09,33201
2020-12-10,32169.28571
2020-12-11,31223.42857
2020-12-12,30401
2020-12-13,29556.71429
2020-12-14,28913.57143
2020-12-15,28099.57143
2020-12-16,27026.57143
2020-12-17,26100.42857
2020-12-18,25403.42857
2020-12-19,24884.85714
2020-12-20,24494.28571
2020-12-21,24135.85714
2020-12-22,23788.42857
2020-12-23,23888.71429
2020-12-24,23914
2020-12-25,23502.71429
2020-12-26,22375.28571
2020-12-27,21758.71429
2020-12-28,21312.42857
2020-12-29,20826.57143
2020-12-30,20413.71429
2020-12-31,19980.57143
2021-01-01,22386.42857
2021-01-02,19445
2021-01-03,18942.57143
2021-01-04,18934.42857
2021-01-05,18582.85714
2021-01-06,18372
2021-01-07,18101.14286
2021-01-08,12513.42857
2021-01-09,18045.57143
2021-01-10,18018
2021-01-11,17476.42857
2021-01-12,17173.57143
2021-01-13,16687.85714
2021-01-14,16323.71429
2021-01-15,18489.14286
2021-01-16,15385.85714
2021-01-17,15025.42857
2021-01-18,14663.42857
2021-01-19,14356
2021-01-20,14112.85714
2021-01-21,13963.57143
2021-01-22,13834.71429
2021-01-23,13792.57143
2021-01-24,13709
2021-01-25,13573.57143
2021-01-26,13412.57143
2021-01-27,12901.42857
2021-01-28,13517.14286
2021-01-29,13349.42857
2021-01-30,13091.57143
2021-01-31,12839.14286
2021-02-01,12772.42857
2021-02-02,12536.71429
2021-02-03,12712.85714
2021-02-04,11791.85714
2021-02-05,11596.28571
2021-02-06,11455.57143
2021-02-07,11512
2021-02-08,11579.85714
2021-02-09,11583.85714
2021-02-10,11587.28571
2021-02-11,11144.57143
2021-02-12,11206
2021-02-13,11225.28571
2021-02-14,11199.28571
2021-02-15,11200.85714
2021-02-16,11278.42857
2021-02-17,11272.42857
2021-02-18,11827.28571
2021-02-19,12091.57143
2021-02-20,12387.28571
2021-02-21,12751.57143
2021-02-22,12960.57143
2021-02-23,13265.14286
2021-02-24,13816.14286
2021-02-25,14299.57143
2021-02-26,14656
2021-02-27,15011.42857
2021-02-28,15198.71429
2021-03-01,15441.85714
2021-03-02,15620
2021-03-03,15715.57143
2021-03-04,15752.85714
2021-03-05,16009.42857
2021-03-06,16295.42857
2021-03-07,16736.71429
2021-03-08,17179.85714
2021-03-09,17598.71429
2021-03-10,18376.85714
2021-03-11,19297.85714
2021-03-12,20240.42857
2021-03-13,21178.42857
2021-03-14,22277.28571
2021-03-15,23577.85714
2021-03-16,25146.71429
2021-03-17,27006.28571
2021-03-18,29355
2021-03-19,31650.85714
2021-03-20,34297.42857
2021-03-21,37248.85714
2021-03-22,39566.42857
2021-03-23,42189.14286
2021-03-24,44704.14286
2021-03-25,47474.42857
2021-03-26,50518
2021-03-27,53213.42857
2021-03-28,56223.28571
2021-03-29,58437
2021-03-30,59325.28571
2021-03-31,62018.71429
2021-04-01,65211.28571
2021-04-02,69050
2021-04-03,73412.14286
2021-04-04,78489
2021-04-05,84313.42857
2021-04-06,93207.14286
2021-04-07,100987
2021-04-08,108201.57143
2021-04-09,116238
2021-04-10,124756.57143
2021-04-11,134092.85714
2021-04-12,143343.42857
2021-04-13,153148.57143
2021-04-14,163712.85714
2021-04-15,175910.71429
2021-04-16,188669
2021-04-17,204171.14286
2021-04-18,219155.42857
2021-04-19,233074.14286
2021-04-20,248900.71429
2021-04-21,265172.85714
2021-04-22,281682.57143
2021-04-23,297696
2021-04-24,310309.85714
2021-04-25,321622.57143
2021-04-26,330744.85714
2021-04-27,340140.42857
2021-04-28,349378.14286
2021-04-29,357040.14286
2021-04-30,364926.85714
2021-05-01,371040.71429
2021-05-02,373193.42857
2021-05-03,378092.42857
2021-05-04,381123.71429
2021-05-05,385855.57143
2021-05-06,389803.14286
2021-05-07,389672.42857
2021-05-08,391232
2021-05-09,391008.28571
2021-05-10,387097.71429
2021-05-11,382279.85714
2021-05-12,375179.28571
2021-05-13,365030.14286
2021-05-14,354318.71429
2021-05-15,341142.28571
2021-05-16,328984
2021-05-17,319497
2021-05-18,307913.14286
2021-05-19,295539.28571
2021-05-20,283597.42857
2021-05-21,273769
2021-05-22,263722.14286
2021-05-23,255283.42857
2021-05-24,245696.85714
2021-05-25,237352.14286
2021-05-26,228093.28571
2021-05-27,217638
2021-05-28,205708.14286
2021-05-29,194952.57143
2021-05-30,185012.42857
2021-05-31,175167.14286
2021-06-01,164291
2021-06-02,153270.42857
2021-06-03,145556.14286
2021-06-04,137947.42857
2021-06-05,130648.42857
2021-06-06,123205.85714
2021-06-07,117347
2021-06-08,111605.28571
2021-06-09,105792.28571
2021-06-10,100067.57143
2021-06-11,94896.57143
2021-06-12,90092.85714
2021-06-13,85776.42857
2021-06-14,82058.28571
2021-06-15,77719.42857
2021-06-16,73968.71429
2021-06-17,69710
2021-06-18,66341.57143
2021-06-19,63111.85714
2021-06-20,60687.28571
2021-06-21,58140
2021-06-22,56514.85714
2021-06-23,54637.85714
2021-06-24,53093.14286
2021-06-25,51371
2021-06-26,50201.57143
2021-06-27,49158.57143
2021-06-28,48433.71429
2021-06-29,47734.14286
2021-06-30,46979.42857
2021-07-01,46258
2021-07-02,45602.71429
2021-07-03,44607.14286
2021-07-04,43699.71429
2021-07-05,43290.71429
2021-07-06,42973.85714
2021-07-07,42560.42857
2021-07-08,42099.85714
2021-07-09,41907.71429
2021-07-10,41684.14286
2021-07-11,41306.71429
2021-07-12,41050
2021-07-13,40354.57143
2021-07-14,39760.42857
2021-07-15,39125.57143
2021-07-16,38456
2021-07-17,38406.14286
2021-07-18,38550.42857
2021-07-19,38148.57143
2021-07-20,38598.57143
2021-07-21,38548.57143
2021-07-22,38033.28571
2021-07-23,32593.42857
2021-07-24,37976.57143
2021-07-25,38147.57143
2021-07-26,38089.85714
2021-07-27,38324
2021-07-28,38627.71429
2021-07-29,39897.42857
2021-07-30,45847.28571
2021-07-31,40560.42857
2021-08-01,40670.85714
2021-08-02,40793.71429
2021-08-03,40646.71429
2021-08-04,40571.42857
2021-08-05,40630.42857
2021-08-06,40198.85714
2021-08-07,39804.42857
2021-08-08,39142.28571
2021-08-09,38807.28571
2021-08-10,38197
2021-08-11,37941.71429
2021-08-12,37295.57143
2021-08-13,37301.14286
2021-08-14,36874.42857
2021-08-15,36508.42857
2021-08-16,36074.42857
2021-08-17,35620.85714
2021-08-18,34936
2021-08-19,34429
2021-08-20,33827.57143
2021-08-21,33094
2021-08-22,31970.42857
2021-08-23,32013.42857
2021-08-24,32358.42857
2021-08-25,33753.14286
2021-08-26,34908.42857
2021-08-27,36665.85714
2021-08-28,38685.14286
2021-08-29,41233.28571
2021-08-30,42015.28571
2021-08-31,42639.85714
2021-09-01,42772.42857
2021-09-02,42871.57143
2021-09-03,42280
2021-09-04,41949
2021-09-05,41383.14286
2021-09-06,41423.28571
2021-09-07,40839
2021-09-08,40292
2021-09-09,38809.28571
2021-09-10,37489
2021-09-11,35464
2021-09-12,33793.42857
2021-09-13,32962.28571
2021-09-14,31433.85714
2021-09-15,29620.57143
2021-09-16,29539.14286
2021-09-17,29865.71429
2021-09-18,30177.42857
2021-09-19,30606.28571
2021-09-20,30707.85714
2021-09-21,30677.57143
2021-09-22,30870.85714
2021-09-23,30439.28571
2021-09-24,29575.57143
2021-09-25,29226
2021-09-26,28623.85714
2021-09-27,27578.14286
2021-09-28,26421.85714
2021-09-29,25222.71429
2021-09-30,24557.71429
2021-10-01,23806
2021-10-02,23022.57143
